epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.395,2.31587,3.83536,1.60806,0.00585,0.84583,0.30437,0.11313,2.31732,3.76741,1.22533,0.00017148,0.00017148,0.00017148
2,11.7627,1.78474,2.57334,1.31294,0.00614,0.8375,0.31664,0.13343,2.06846,3.66289,1.2175,0.000355482,0.000355482,0.000355482
3,17.0659,1.70612,2.22394,1.19954,0.22228,0.60417,0.35141,0.12502,2.01876,3.51659,1.14116,0.000537644,0.000537644,0.000537644
4,22.346,1.75647,2.04568,1.21901,0.88722,0.16667,0.49844,0.20993,1.8649,3.30781,1.09665,0.000717967,0.000717967,0.000717967
5,27.6323,1.75282,2.00311,1.24391,0.54222,0.46667,0.55144,0.23582,1.9061,2.83724,1.15046,0.000896452,0.000896452,0.000896452
6,32.9875,1.6968,1.92352,1.21104,0.453,0.56667,0.59364,0.26077,1.8104,2.58805,1.09812,0.0010731,0.0010731,0.0010731
7,38.2436,1.68182,1.82502,1.20596,0.37912,0.61667,0.4176,0.21511,1.89828,2.50616,1.11551,0.0012479,0.0012479,0.0012479
8,43.5792,1.63497,1.75019,1.18883,0.6622,0.61473,0.7114,0.3557,1.99152,2.30366,1.2291,0.00137949,0.00137949,0.00137949
9,48.9522,1.6441,1.77874,1.18851,0.47037,0.78513,0.62991,0.29165,1.88843,2.37146,1.13962,0.00137241,0.00137241,0.00137241
10,54.1945,1.63876,1.71448,1.19694,0.70103,0.74583,0.70673,0.36844,1.8338,2.25011,1.05855,0.00136534,0.00136534,0.00136534
11,59.4397,1.62507,1.70556,1.17677,0.57504,0.57329,0.62551,0.3221,1.96778,2.54675,1.11123,0.00135826,0.00135826,0.00135826
12,64.7294,1.56121,1.60525,1.16621,0.53663,0.44385,0.50103,0.23666,2.16185,3.2536,1.15539,0.00135119,0.00135119,0.00135119
13,69.9657,1.58166,1.56164,1.15721,0.5485,0.61286,0.56725,0.24658,2.19441,3.46184,1.20837,0.00134412,0.00134412,0.00134412
14,75.2264,1.62561,1.6123,1.19416,0.56994,0.81248,0.76038,0.36335,1.88246,1.96494,1.08384,0.00133704,0.00133704,0.00133704
15,80.4809,1.54234,1.53316,1.16401,0.55071,0.74142,0.66539,0.31122,1.85071,1.84988,1.12,0.00132997,0.00132997,0.00132997
